deck_list,player,url,name
"2 Forest, 1 Island, 1 Mountain, 2 Swamp, 3 Breeding Pool, 2 Mystical Dispute, 2 Cauldron Familiar, 2 Murderous Rider, 4 Gilded Goose, 4 Once Upon a Time, 2 Trail of Crumbs, 4 Wicked Wolf, 4 Oko, Thief of Crowns, 3 Witch's Oven, 4 Fabled Passage, 2 Korvold, Fae-Cursed King, 3 Stomping Ground, 2 Temple of Malady, 4 Aether Gust, 4 Noxious Grasp, 4 Overgrown Tomb, 2 Watery Grave, 3 Thrashing Brontodon, 3 Duress, 1 Ugin, the Ineffable, 2 Paradise Druid, 4 Mayhem Devil, 1 Nicol Bolas, Dragon-God, ",Julian_Felix_Flury,https://www.mtgtop8.com/event?e=23581&d=363309&f=ST,4c_Control
"4 Shock, 1 Forest, 1 Island, 1 Mountain, 1 Swamp, 1 Blood Crypt, 3 Breeding Pool, 4 Once Upon a Time, 2 Fabled Passage, 2 Assassin's Trophy, 2 Find-Finality, 2 Steam Vents, 3 Stomping Ground, 2 Temple of Epiphany, 1 Temple of Malady, 1 Aether Gust, 1 Agent of Treachery, 1 Cavalier of Gales, 2 Cloudkin Seer, 2 Chandra, Awakened Inferno, 3 Scampering Scorcher, 4 Thunderkin Awakener, 1 Cavalier of Thorns, 4 Leafkin Druid, 2 Veil of Summer, 4 Omnath, Locus of the Roil, 4 Risen Reef, 3 Yarok, the Desecrated, 2 Field of the Dead, 3 Negate, 2 Overgrown Tomb, 2 Watery Grave, 1 Temple of Mystery, 3 Neoform, ",Robert_Lippmann,https://www.mtgtop8.com/event?e=23476&d=362227&f=ST,4c_Elementals
"3 Forest, 1 Island, 2 Plains, 1 Swamp, 4 Breeding Pool, 4 Gilded Goose, 2 Once Upon a Time, 4 Wicked Wolf, 4 Oko, Thief of Crowns, 4 Fabled Passage, 3 Garruk, Cursed Huntsman, 1 Assassin's Trophy, 2 Vraska, Golgari Queen, 2 Find-Finality, 2 Legion's End, 2 Noxious Grasp, 4 Nightpack Ambusher, 2 Shifting Ceratops, 3 Veil of Summer, 4 Overgrown Tomb, 4 Temple Garden, 2 Deputy of Detention, 3 Arboreal Grazer, 4 Paradise Druid, 1 Dovin's Veto, 2 Tamiyo, Collector of Tales, 2 Teferi, Time Raveler, 3 Tolsimir, Friend to Wolves, ",Keylan_Steffins,https://www.mtgtop8.com/event?e=23516&d=362603&f=ST,4c_Value
"1 Island, 1 Mountain, 2 Plains, 3 Swamp, 2 Blood Crypt, 1 Hallowed Fountain, 3 Revenge of Ravens, 2 Dance of the Manse, 4 Doom Foretold, 3 Outlaws' Merriment, 4 Golden Egg, 2 Stonecoil Serpent, 1 Castle Ardenvale, 2 Fabled Passage, 1 Deafening Clarion, 1 Mortify, 4 Godless Shrine, 2 Cavalier of Dawn, 2 Legion's End, 3 Noxious Grasp, 1 Chandra, Awakened Inferno, 3 Sacred Foundry, 1 Watery Grave, 2 Ethereal Absolution, 4 Kaya's Wrath, 2 Temple of Silence, 2 Temple of Triumph, 3 Duress, 1 Ugin, the Ineffable, 2 Prison Realm, 4 Oath of Kaya, 4 Guild Globe, 2 Sorcerous Spyglass, ",Wynand_Van_Zyl,https://www.mtgtop8.com/event?e=23773&d=365167&f=ST,4_Color_Doom_
"1 Island, 1 Mountain, 1 Plains, 4 Hallowed Fountain, 3 Fae of Wishes, 4 Fires of Invention, 1 Castle Vantress, 3 Deafening Clarion, 1 Unmoored Ego, 2 Vraska, Golgari Queen, 4 Steam Vents, 3 Temple of Epiphany, 2 Drawn from Dreams, 1 Chandra, Awakened Inferno, 4 Sacred Foundry, 1 Mass Manipulation, 3 Shimmer of Possibility, 1 Emergency Powers, 1 Kaya's Wrath, 2 Ugin, the Ineffable, 4 Narset, Parter of Veils, 1 Spark Double, 1 Command the Dreadhorde, 1 The Elderspell, 1 Liliana, Dreadhorde General, 3 Sarkhan the Masterless, 2 Planewide Celebration, 1 Casualties of War, 3 Nicol Bolas, Dragon-God, 2 Tamiyo, Collector of Tales, 4 Teferi, Time Raveler, 1 Time Wipe, 1 Ashiok, Dream Render, 1 Blast Zone, 4 Interplanar Beacon, 1 Karn's Bastion, 1 Sorcerous Spyglass, ",Vincent_Choy,https://www.mtgtop8.com/event?e=23600&d=363526&f=ST,5c_PW
"3 Forest, 1 Plains, 2 Swamp, 1 Harmonious Archon, 4 Murderous Rider, 2 Smitten Swordmaster, 4 Gilded Goose, 2 Faeburrow Elder, 1 Castle Ardenvale, 2 Castle Locthwain, 3 Garruk, Cursed Huntsman, 3 Midnight Reaper, 3 Kraul Harpooner, 4 Assassin's Trophy, 2 Knight of Autumn, 2 March of the Multitudes, 2 Find-Finality, 2 Leyline of the Void, 3 Godless Shrine, 4 Temple of Malady, 3 Shifting Ceratops, 3 Veil of Summer, 3 Corpse Knight, 4 Overgrown Tomb, 3 Temple Garden, 1 Ethereal Absolution, 2 Kaya, Orzhov Usurper, 2 Temple of Silence, 2 Vivien, Champion of the Wilds, 2 Tolsimir, Friend to Wolves, ",Kyle_Knezovich,https://www.mtgtop8.com/event?e=23669&d=364261&f=ST,Abzan_Aggro
"4 Forest, 1 Plains, 2 Swamp, 3 Cauldron Familiar, 4 Murderous Rider, 4 Gilded Goose, 2 Questing Beast, 4 Trail of Crumbs, 3 Wicked Wolf, 4 Witch's Oven, 1 Castle Locthwain, 3 Fabled Passage, 1 Garruk, Cursed Huntsman, 3 Knight of Autumn, 2 Vraska, Golgari Queen, 4 Godless Shrine, 2 Temple of Malady, 2 Devout Decree, 2 Noxious Grasp, 3 Shifting Ceratops, 4 Overgrown Tomb, 4 Temple Garden, 1 Ethereal Absolution, 2 Kaya, Orzhov Usurper, 3 Duress, 2 Massacre Girl, 1 Casualties of War, 2 Despark, 1 Sorin, Vengeful Bloodlord, 1 Tolsimir, Friend to Wolves, ",Valentin_Roman,https://www.mtgtop8.com/event?e=23849&d=365852&f=ST,Abzan_Cat_Food
"4 Forest, 3 Island, 2 Mountain, 4 Breeding Pool, 4 Brazen Borrower, 4 Fae of Wishes, 2 Mystical Dispute, 4 Bonecrusher Giant, 4 Beanstalk Giant, 4 Edgewall Innkeeper, 4 Escape to the Wilds, 4 Lucky Clover, 2 Fabled Passage, 4 Lovestruck Beast, 1 Lava Coil, 1 Expansion-Explosion, 4 Steam Vents, 4 Stomping Ground, 1 Temple of Epiphany, 1 Disdainful Stroke, 1 Chandra, Awakened Inferno, 1 Flame Sweep, 1 Negate, 1 Pulse of Murasa, 3 Growth Spiral, 1 Fling, 2 Temple of Mystery, 1 Planewide Celebration, 1 Return to Nature, 1 Tamiyo, Collector of Tales, 1 Sorcerous Spyglass, ",Alex_Crowther,https://www.mtgtop8.com/event?e=23955&d=366937&f=ST,Adventure
"5 Forest, 3 Island, 2 Mountain, 4 Breeding Pool, 4 Brazen Borrower, 4 Fae of Wishes, 1 Frogify, 2 Mystical Dispute, 4 Bonecrusher Giant, 4 Beanstalk Giant, 1 Once and Future, 4 Escape to the Wilds, 4 Lucky Clover, 1 Lava Coil, 4 Steam Vents, 4 Stomping Ground, 2 Temple of Epiphany, 1 Aether Gust, 1 Chandra, Awakened Inferno, 1 Flame Sweep, 1 Fry, 1 Negate, 4 Growth Spiral, 4 Hydroid Krasis, 1 Fling, 3 Temple of Mystery, 1 Planewide Celebration, 3 Return to Nature, 1 Sorcerous Spyglass, ",BradPitKeeper,https://www.mtgtop8.com/event?e=23925&d=366565&f=ST,Adventure
"8 Forest, 6 Swamp, 2 Epic Downfall, 4 Foulmire Knight, 4 Murderous Rider, 2 Order of Midnight, 4 Edgewall Innkeeper, 3 The Great Henge, 3 Questing Beast, 2 Fabled Passage, 4 Lovestruck Beast, 4 Temple of Malady, 3 Noxious Grasp, 4 Rotting Regisaur, 3 Shifting Ceratops, 4 Vivien, Arkbow Ranger, 4 Overgrown Tomb, 3 Thrashing Brontodon, 3 Duress, 4 Paradise Druid, 1 Casualties of War, ",Chris_Barone,https://www.mtgtop8.com/event?e=24032&d=367638&f=ST,Adventure
